name,platform_group,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,total_sales,other_sales,critic_score,user_score,rating,rat_sem
adventures of tron,Other,2600,1981,Action,0.63,0.03,0.0,0.67,0.01,,,,Pending
fossil fighters champions,Nintendo,DS,2010,Role-Playing,0.31,0.0,0.34,0.67,0.02,68.0,7.1,E,Everyone
the sims 3,Nintendo,DS,2010,Simulation,0.38,0.22,0.0,0.6599999999999999,0.06,73.0,6.4,E,Everyone
"the chronicles of narnia the lion, the witch and the wardrobe",Nintendo,GBA,,Action,0.48,0.18,0.0,0.6699999999999999,0.01,66.0,6.8,E,Everyone
disney tangled,Nintendo,Wii,2010,Action,0.46,0.16,0.0,0.67,0.05,,,,Pending
command & conquer red alert 3,PC,PC,2008,Strategy,0.01,0.64,0.0,0.67,0.02,,,,Pending
zaidan houjin nippon kanji nouryoku kentei kyoukai koushiki soft 200 mannin no kanken tokoton kanji nou,Nintendo,DS,2006,Misc,0.0,0.0,0.66,0.66,0.0,,,,Pending
pro pinball big race usa,PlayStation,PS,1999,Simulation,0.37,0.25,0.0,0.66,0.04,69.0,,E,Everyone
nfl street,XBox,XB,2004,Sports,0.49,0.15,0.0,0.66,0.02,81.0,8.8,E,Everyone
final fantasy crystal chronicles ring of fates,Nintendo,DS,2007,Role-Playing,0.22,0.01,0.42,0.67,0.02,77.0,7.2,E10+,Everyone 10y+
bakugan battle brawlers,Nintendo,Wii,2009,Action,0.59,0.03,0.0,0.67,0.05,62.0,7.2,E,Everyone
blazing angels squadrons of wwii,PlayStation,PS3,2006,Simulation,0.35,0.22,0.0,0.6699999999999999,0.1,67.0,6.9,T,Teens
wwe smackdown vs. raw 2007,PlayStation,PSP,2006,Fighting,0.33,0.2,0.0,0.67,0.14,78.0,8.1,T,Teens
skylanders trap team,PlayStation,PS3,2014,Action,0.26,0.3,0.0,0.67,0.11,,7.0,E10+,Everyone 10y+
f1 2015,PlayStation,PS4,2015,Racing,0.09,0.45,0.03,0.67,0.1,65.0,6.3,E,Everyone
tony hawk's proving ground,PlayStation,PS2,2007,Sports,0.55,0.02,0.0,0.66,0.09,65.0,6.6,T,Teens
the darkness,PlayStation,PS3,2007,Shooter,0.2,0.33,0.0,0.66,0.13,80.0,7.7,M,Mature
country dance,Nintendo,Wii,2011,Misc,0.58,0.04,0.0,0.67,0.05,,,E10+,Everyone 10y+
mlb 2004,PlayStation,PS2,2003,Sports,0.32,0.25,0.0,0.65,0.08,61.0,7.9,E,Everyone
naruto shippuden ultimate ninja 4,PlayStation,PS2,2007,Fighting,0.26,0.01,0.13,0.66,0.26,,,,Pending
the sims 3 high-end loft stuff,PC,PC,2010,Simulation,0.01,0.54,0.0,0.66,0.11,,6.5,T,Teens
tiger woods pga tour 2000,PlayStation,PS,1998,Sports,0.37,0.25,0.0,0.66,0.04,,,,Pending
darkstone,PlayStation,PS,2001,Role-Playing,0.37,0.25,0.0,0.66,0.04,58.0,8.3,T,Teens
ncaa march madness 2003,PlayStation,PS2,2002,Sports,0.32,0.25,0.0,0.65,0.08,74.0,8.0,E,Everyone
diablo iii,XBox,XOne,2014,Role-Playing,0.36,0.24,0.0,0.6599999999999999,0.06,,,,Pending
finding nemo,XBox,XB,2003,Action,0.48,0.16,0.0,0.66,0.02,63.0,,E,Everyone
thrillville,PlayStation,PS2,2006,Strategy,0.55,0.02,0.0,0.66,0.09,69.0,2.9,E10+,Everyone 10y+
lalaloopsy,Nintendo,DS,2011,Simulation,0.51,0.1,0.0,0.6699999999999999,0.06,,,E,Everyone
jikkyou world soccer 2000 final edition,PlayStation,PS2,2000,Sports,0.0,0.0,0.66,0.66,0.0,,,,Pending
madagascar,Nintendo,GC,2005,Platform,0.52,0.13,0.0,0.67,0.02,70.0,,E10+,Everyone 10y+
castlevania lords of shadow,XBox,X360,2010,Action,0.42,0.17,0.01,0.65,0.05,83.0,7.8,M,Mature
hidden objects mystery stories,Nintendo,DS,2009,Adventure,0.18,0.43,0.0,0.66,0.05,,,,Pending
nhl 10,XBox,X360,2009,Sports,0.51,0.1,0.0,0.6699999999999999,0.06,88.0,8.4,E10+,Everyone 10y+
100 classic books,Nintendo,DS,2008,Misc,0.12,0.52,0.0,0.66,0.02,70.0,6.0,,Pending
puzzler brain games,Nintendo,Wii,2012,Puzzle,0.0,0.0,0.66,0.66,0.0,,,,Pending
tv show king party,Nintendo,Wii,2008,Puzzle,0.18,0.4,0.0,0.66,0.08,,,T,Teens
dragon quest monsters caravan heart,Nintendo,GBA,2003,Role-Playing,0.0,0.0,0.64,0.66,0.02,,,,Pending
strawberry shortcake summertime adventure,Nintendo,GBA,2004,Adventure,0.47,0.18,0.0,0.6599999999999999,0.01,,,E,Everyone
street fighter anniversary collection,PlayStation,PS2,2004,Fighting,0.32,0.25,0.0,0.65,0.08,78.0,8.7,T,Teens
legend of legaia,PlayStation,PS,1998,Role-Playing,0.37,0.25,0.0,0.66,0.04,,,,Pending
nhl 13,XBox,X360,2012,Sports,0.51,0.1,0.0,0.66,0.05,83.0,6.6,E10+,Everyone 10y+
napoleon total war,PC,PC,2010,Strategy,0.02,0.53,0.0,0.67,0.12,81.0,7.9,T,Teens
metro last light,PlayStation,PS4,2014,Action,0.22,0.3,0.04,0.66,0.1,,,,Pending
madden nfl 10,PlayStation,PSP,2009,Sports,0.5,0.08,0.0,0.6599999999999999,0.08,,7.8,E,Everyone
rayman legends,Nintendo,WiiU,2013,Platform,0.25,0.33,0.03,0.6600000000000001,0.05,92.0,8.7,E10+,Everyone 10y+
the sims bustin' out,Nintendo,GC,2003,Simulation,0.43,0.2,0.0,0.66,0.03,81.0,9.0,T,Teens
bioshock infinite,PC,PC,2013,Shooter,0.29,0.3,0.0,0.6599999999999999,0.07,94.0,8.5,M,Mature
keystone kapers,Other,2600,1982,Action,0.62,0.04,0.0,0.67,0.01,,,,Pending
ratatouille,PlayStation,PSP,2007,Action,0.22,0.27,0.0,0.65,0.16,64.0,7.1,E,Everyone
lollipop chainsaw,PlayStation,PS3,2012,Action,0.27,0.2,0.11,0.66,0.08,67.0,7.1,M,Mature
tom clancy's endwar,PlayStation,PS3,2008,Strategy,0.33,0.22,0.01,0.66,0.1,76.0,6.6,T,Teens
shrek hassle at the castle,Nintendo,GBA,2002,Action,0.47,0.17,0.0,0.65,0.01,71.0,7.4,E,Everyone
suikoden iv,PlayStation,PS2,2004,Role-Playing,0.17,0.13,0.3,0.6500000000000001,0.05,63.0,7.3,T,Teens
gods eater burst,PlayStation,PSP,2010,Action,0.03,0.0,0.62,0.65,0.0,71.0,7.9,T,Teens
fist of the north star ken's rage,PlayStation,PS3,2010,Action,0.06,0.03,0.55,0.65,0.01,60.0,6.9,M,Mature
plants vs. zombies garden warfare,PlayStation,PS3,2014,Shooter,0.22,0.32,0.01,0.66,0.11,,7.8,E10+,Everyone 10y+
disney's kim possible 2 drakken's demise,Nintendo,GBA,2004,Platform,0.47,0.17,0.0,0.65,0.01,77.0,,E,Everyone
one piece pirate warriors 2,PlayStation,PS3,2013,Action,0.0,0.19,0.42,0.66,0.05,71.0,7.8,T,Teens
um jammer lammy,PlayStation,PS,1998,Misc,0.12,0.08,0.41,0.65,0.04,,,,Pending
brothers in arms road to hill 30,XBox,XB,2005,Shooter,0.49,0.14,0.0,0.65,0.02,88.0,8.0,M,Mature
lego harry potter years 5-7,Nintendo,DS,,Action,0.34,0.25,0.0,0.6600000000000001,0.07,69.0,,E10+,Everyone 10y+
taiko no tatsujin ds touch de dokodon!,Nintendo,DS,2007,Misc,0.0,0.0,0.66,0.66,0.0,,,,Pending
animaniacs ten pin alley,PlayStation,PS,1998,Sports,0.36,0.25,0.0,0.65,0.04,,,,Pending
lego jurassic world,XBox,XOne,2015,Action,0.38,0.22,0.0,0.6599999999999999,0.06,70.0,6.7,E10+,Everyone 10y+
kung fu panda,PlayStation,PS2,2008,Action,0.24,0.0,0.0,0.6499999999999999,0.41,73.0,8.6,E10+,Everyone 10y+
freedom wars,PlayStation,PSV,2014,Role-Playing,0.15,0.1,0.32,0.65,0.08,73.0,8.3,T,Teens
rocksmith 2014,PC,PC,2013,Misc,0.36,0.24,0.0,0.6599999999999999,0.06,,,,Pending
club penguin elite penguin force - herbert's revenge,Nintendo,DS,2010,Adventure,0.39,0.21,0.0,0.6599999999999999,0.06,,,,Pending
ratchet & clank into the nexus,PlayStation,PS3,2013,Shooter,0.3,0.25,0.0,0.65,0.1,,,,Pending
shaun white snowboarding,PlayStation,PS3,2008,Sports,0.31,0.23,0.01,0.65,0.1,63.0,6.3,T,Teens
radiata stories,PlayStation,PS2,2005,Role-Playing,0.18,0.14,0.29,0.66,0.05,74.0,9.0,T,Teens
the biggest loser challenge,Nintendo,Wii,2010,Sports,0.48,0.12,0.0,0.65,0.05,,,E,Everyone
peppa pig fun and games,Nintendo,DS,2010,Misc,0.0,0.57,0.0,0.6599999999999999,0.09,,,,Pending
f-zero gx,Nintendo,GC,2003,Racing,0.41,0.11,0.12,0.66,0.02,89.0,8.5,T,Teens
disney's chicken little,PlayStation,PS2,2005,Platform,0.32,0.25,0.0,0.65,0.08,60.0,8.9,E10+,Everyone 10y+
scene it? box office smash,XBox,X360,2008,Misc,0.33,0.25,0.0,0.6500000000000001,0.07,76.0,7.4,T,Teens
yoshi topsy-turvy,Nintendo,GBA,2004,Platform,0.25,0.09,0.3,0.6499999999999999,0.01,60.0,6.6,E,Everyone
monster jam maximum destruction,PlayStation,PS2,2002,Racing,0.32,0.25,0.0,0.65,0.08,47.0,6.0,T,Teens
cartoon network block party / cartoon network speedway double pack,Nintendo,GBA,2005,Misc,0.47,0.17,0.0,0.65,0.01,,,,Pending
tiger woods pga tour 09,PlayStation,PS3,2008,Sports,0.34,0.22,0.0,0.66,0.1,82.0,7.2,E,Everyone
world of dragon warrior - torneko the last hope,PlayStation,PS,1999,Role-Playing,0.02,0.01,0.58,0.65,0.04,,,,Pending
mortal kombat,PlayStation,PSV,2012,Fighting,0.42,0.13,0.0,0.65,0.1,85.0,7.8,M,Mature
"transformers the game (xbox 360, ps2, ps3, wii & pc versions)",PlayStation,PSP,2007,Action,0.23,0.26,0.0,0.65,0.16,,,,Pending
tiger woods pga tour 09,XBox,X360,2008,Sports,0.35,0.23,0.0,0.6499999999999999,0.07,84.0,7.8,E,Everyone
advance wars 2 black hole rising,Nintendo,GBA,2003,Strategy,0.47,0.17,0.0,0.65,0.01,89.0,9.4,E,Everyone
wario master of disguise,Nintendo,DS,2007,Platform,0.28,0.02,0.33,0.6600000000000001,0.03,60.0,7.4,E10+,Everyone 10y+
centipede,PlayStation,PS,1998,Shooter,0.36,0.25,0.0,0.65,0.04,,,,Pending
the last story,Nintendo,Wii,2011,Role-Playing,0.3,0.13,0.18,0.65,0.04,80.0,8.4,T,Teens
drakengard,PlayStation,PS2,2003,Role-Playing,0.19,0.15,0.26,0.65,0.05,63.0,9.1,M,Mature
singstar pop hits,PlayStation,PS2,2007,Misc,0.0,0.5,0.0,0.65,0.15,,,,Pending
kung-fu master,Other,2600,1987,Action,0.6,0.04,0.0,0.65,0.01,,,,Pending
champions return to arms,PlayStation,PS2,2005,Role-Playing,0.32,0.25,0.0,0.65,0.08,77.0,8.8,T,Teens
harry potter and the goblet of fire,PlayStation,PS2,2005,Action,0.54,0.02,0.0,0.65,0.09,68.0,6.7,E10+,Everyone 10y+
toy story 3 the video game,PlayStation,PSP,2010,Action,0.27,0.24,0.0,0.65,0.14,,,,Pending
singstar r&b,PlayStation,PS2,2007,Misc,0.0,0.05,0.0,0.65,0.6,,,,Pending
mary-kate and ashley magical mystery mall,PlayStation,PS,2000,Adventure,0.36,0.24,0.0,0.64,0.04,,,,Pending
mx vs. atv untamed,PlayStation,PSP,2007,Racing,0.35,0.18,0.0,0.65,0.12,59.0,,E,Everyone
disney infinity 2.0 marvel super heroes,Nintendo,WiiU,2014,Action,0.37,0.22,0.0,0.6499999999999999,0.06,,,,Pending
tiger woods pga tour 10,XBox,X360,2009,Sports,0.39,0.2,0.0,0.6500000000000001,0.06,80.0,6.9,E,Everyone
007 quantum of solace,Nintendo,Wii,2008,Action,0.29,0.28,0.01,0.6500000000000001,0.07,54.0,7.5,T,Teens
super robot taisen impact,PlayStation,PS2,2002,Strategy,0.0,0.0,0.65,0.65,0.0,,,,Pending
wall-e,PlayStation,PSP,2008,Platform,0.29,0.22,0.0,0.65,0.14,64.0,,E,Everyone
farming simulator 17,PC,PC,2016,Simulation,0.03,0.58,0.0,0.65,0.04,64.0,8.0,E,Everyone
crafting mama,Nintendo,DS,2010,Simulation,0.39,0.19,0.01,0.6400000000000001,0.05,,,E,Everyone
meccha! taiko no tatsujin master ds 7-tsu no shima no daibouken,Nintendo,DS,2008,Misc,0.0,0.0,0.65,0.65,0.0,,,,Pending
god of war iii,PlayStation,PS4,2015,Action,0.24,0.29,0.01,0.64,0.1,,,,Pending
borderlands 2,PlayStation,PSV,2014,Shooter,0.32,0.16,0.01,0.64,0.15,64.0,7.6,M,Mature
harry potter and the half-blood prince,PlayStation,PS2,2009,Action,0.13,0.07,0.0,0.64,0.44,,8.3,E10+,Everyone 10y+
crash bandicoot purple ripto's rampage,Nintendo,GBA,2004,Platform,0.46,0.17,0.0,0.64,0.01,67.0,6.6,E,Everyone
assassin's creed iv black flag,PC,PC,2013,Action,0.22,0.38,0.0,0.65,0.05,84.0,7.7,M,Mature
need for speed undercover,Nintendo,Wii,2008,Racing,0.27,0.31,0.0,0.6500000000000001,0.07,54.0,6.2,T,Teens
spyro a hero's tail,PlayStation,PS2,2004,Platform,0.32,0.25,0.0,0.65,0.08,60.0,8.0,E,Everyone
crash twinsanity,PlayStation,PS2,2004,Platform,0.32,0.25,0.0,0.65,0.08,64.0,8.0,E,Everyone
the lego movie videogame,Nintendo,WiiU,2014,Action,0.33,0.23,0.03,0.6400000000000001,0.05,68.0,7.7,E10+,Everyone 10y+
max payne 2 the fall of max payne,XBox,XB,2003,Shooter,0.47,0.15,0.0,0.64,0.02,84.0,8.4,M,Mature
metal gear solid v the phantom pain,PlayStation,PS3,2015,Action,0.22,0.13,0.22,0.6399999999999999,0.07,,7.2,M,Mature
drawn to life the next chapter,Nintendo,DS,2009,Puzzle,0.44,0.14,0.0,0.6400000000000001,0.06,72.0,7.7,E,Everyone
goldeneye rogue agent,PlayStation,PS2,2004,Shooter,0.54,0.02,0.0,0.65,0.09,60.0,7.0,T,Teens
wwe 2k15,XBox,X360,2014,Sports,0.38,0.2,0.0,0.6400000000000001,0.06,50.0,4.0,T,Teens
paws & claws pet vet,Nintendo,DS,2007,Simulation,0.59,0.0,0.0,0.64,0.05,,,,Pending
star ocean first departure,PlayStation,PSP,2007,Role-Playing,0.2,0.13,0.22,0.64,0.09,74.0,7.4,T,Teens
james bond 007 everything or nothing,XBox,XB,2004,Shooter,0.43,0.19,0.0,0.64,0.02,83.0,7.4,T,Teens
x2 wolverine's revenge,PlayStation,PS2,2003,Platform,0.31,0.24,0.0,0.63,0.08,58.0,7.2,T,Teens
nba live 06,XBox,XB,2005,Sports,0.57,0.04,0.0,0.64,0.03,79.0,6.4,E,Everyone
tom clancy's rainbow six,Nintendo,N64,1999,Shooter,0.48,0.15,0.0,0.64,0.01,,,,Pending
castlevania,Nintendo,N64,1999,Platform,0.44,0.1,0.04,0.6300000000000001,0.05,,,,Pending
rayman 2 the great escape,Nintendo,N64,1999,Platform,0.4,0.22,0.0,0.64,0.02,,,,Pending
nicktoons collection game boy advance video volume 1,Nintendo,GBA,2004,Misc,0.46,0.17,0.0,0.64,0.01,,,,Pending
rayman 3d,Nintendo,3DS,2011,Platform,0.23,0.35,0.0,0.6399999999999999,0.06,61.0,6.6,E,Everyone
football manager 2014,PC,PC,2013,Sports,0.0,0.6,0.0,0.63,0.03,85.0,5.5,E,Everyone
new play control! pikmin,Nintendo,Wii,2008,Strategy,0.28,0.12,0.19,0.6300000000000001,0.04,,,,Pending
timesplitters 2,XBox,XB,2002,Shooter,0.29,0.33,0.0,0.63,0.01,88.0,7.7,T,Teens
onimusha dawn of dreams,PlayStation,PS2,2006,Action,0.15,0.12,0.34,0.6500000000000001,0.04,81.0,8.9,M,Mature
sengoku basara samurai heroes,PlayStation,PS3,2010,Action,0.17,0.04,0.4,0.6300000000000001,0.02,61.0,7.9,T,Teens
stuntman ignition,XBox,X360,2007,Racing,0.25,0.31,0.0,0.6300000000000001,0.07,75.0,7.3,T,Teens
real heroes firefighter,Nintendo,Wii,2009,Action,0.56,0.04,0.0,0.6500000000000001,0.05,67.0,8.2,E10+,Everyone 10y+
dishonored 2,PlayStation,PS4,2016,Action,0.22,0.32,0.0,0.64,0.1,88.0,7.7,M,Mature
up,Nintendo,DS,2009,Action,0.3,0.27,0.0,0.6400000000000001,0.07,,,E,Everyone
spongebob squarepants game boy advance video volume 1,Nintendo,GBA,2004,Misc,0.46,0.17,0.0,0.64,0.01,,,,Pending
konami collector's series arcade advanced,Nintendo,GBA,2002,Misc,0.46,0.17,0.0,0.64,0.01,78.0,,E,Everyone
the crew,XBox,XOne,2014,Racing,0.25,0.34,0.0,0.6400000000000001,0.05,64.0,5.9,T,Teens
dragon ball raging blast 2,XBox,X360,2010,Fighting,0.49,0.09,0.01,0.64,0.05,57.0,7.4,T,Teens
jampack volume 13 (rp-t),PlayStation,PS2,2005,Misc,0.31,0.24,0.0,0.63,0.08,,,,Pending
madden nfl 2001,Nintendo,N64,2000,Sports,0.6,0.03,0.0,0.64,0.01,,,,Pending
cruis'n world,Nintendo,N64,1998,Racing,0.59,0.04,0.0,0.64,0.01,,,,Pending
nhl 13,PlayStation,PS3,2012,Sports,0.33,0.21,0.0,0.63,0.09,84.0,6.8,E10+,Everyone 10y+
dead or alive 5,PlayStation,PS3,2012,Fighting,0.23,0.14,0.2,0.6400000000000001,0.07,74.0,7.7,M,Mature
evolve,XBox,XOne,2015,Shooter,0.37,0.2,0.0,0.6300000000000001,0.06,74.0,5.1,M,Mature
lemony snicket's a series of unfortunate events,PlayStation,PS2,2004,Platform,0.31,0.24,0.0,0.63,0.08,63.0,5.7,E,Everyone
lost planet extreme condition,PlayStation,PS3,2008,Shooter,0.31,0.17,0.07,0.63,0.08,67.0,7.0,T,Teens
x-men legends ii rise of apocalypse,PlayStation,PS2,2005,Role-Playing,0.53,0.02,0.0,0.64,0.09,82.0,7.3,T,Teens
nightmare creatures,PlayStation,PS,1997,Action,0.35,0.24,0.0,0.63,0.04,,,,Pending
littlebigplanet 3,PlayStation,PS3,2014,Platform,0.2,0.33,0.01,0.64,0.1,,7.2,E,Everyone
singstar queen,PlayStation,PS2,2009,Misc,0.08,0.12,0.0,0.64,0.44,73.0,,T,Teens
lego star wars ii the original trilogy,XBox,X360,2006,Action,0.55,0.03,0.0,0.6300000000000001,0.05,81.0,8.0,E10+,Everyone 10y+
disney sing it party hits,Nintendo,Wii,2010,Misc,0.48,0.1,0.0,0.62,0.04,,,E,Everyone
dragon quest monsters joker 3,Nintendo,3DS,2016,Role-Playing,0.0,0.0,0.63,0.63,0.0,,,,Pending
rock band 3,Nintendo,Wii,2010,Misc,0.53,0.06,0.0,0.6300000000000001,0.04,91.0,6.9,T,Teens
dragon age ii,PC,PC,2011,Action,0.23,0.33,0.0,0.64,0.08,82.0,4.5,M,Mature
tony hawk's pro skater 2x,XBox,XB,2001,Sports,0.41,0.19,0.0,0.63,0.03,78.0,8.8,T,Teens
nba live 08,PlayStation,PS3,2007,Sports,0.56,0.02,0.01,0.6400000000000001,0.05,73.0,6.8,E,Everyone
sim theme park,PlayStation,PS,1999,Strategy,0.35,0.24,0.0,0.63,0.04,,,,Pending
fifa soccer 2003,XBox,XB,2002,Sports,0.2,0.4,0.0,0.6400000000000001,0.04,88.0,7.7,E,Everyone
taiko no tatsujin chibi dragon to fushigi na orb,Nintendo,3DS,2012,Misc,0.0,0.0,0.63,0.63,0.0,,,,Pending
the lord of the rings conquest,XBox,X360,2009,Action,0.37,0.2,0.0,0.6300000000000001,0.06,55.0,7.0,T,Teens
far cry 4,PC,PC,2014,Shooter,0.15,0.44,0.0,0.63,0.04,80.0,6.7,M,Mature
monster hunter 2,PlayStation,PS2,,Role-Playing,0.0,0.0,0.63,0.63,0.0,,,,Pending
nascar 06 total team control,PlayStation,PS2,2005,Racing,0.53,0.02,0.0,0.64,0.09,78.0,7.7,E,Everyone
dogz,Nintendo,GBA,2004,Simulation,0.45,0.17,0.0,0.63,0.01,,,,Pending
a bug's life,Nintendo,N64,1998,Platform,0.49,0.13,0.0,0.63,0.01,,,,Pending
super castlevania iv,Nintendo,SNES,1991,Platform,0.32,0.05,0.25,0.63,0.01,,,,Pending
iron man,PlayStation,PSP,2008,Action,0.46,0.09,0.0,0.64,0.09,44.0,6.5,T,Teens
white knight chronicles ii,PlayStation,PS3,2010,Role-Playing,0.23,0.09,0.27,0.6300000000000001,0.04,60.0,7.1,T,Teens
mobile suit z gundam aeug vs. titans,PlayStation,PS2,2003,Fighting,0.0,0.0,0.63,0.63,0.0,,,,Pending
juiced 2 hot import nights,XBox,X360,2007,Racing,0.22,0.34,0.0,0.6300000000000001,0.07,68.0,7.6,T,Teens
wolfenstein,PlayStation,PS3,2009,Shooter,0.25,0.27,0.0,0.63,0.11,71.0,7.4,M,Mature
the walking dead survival instinct,XBox,X360,2013,Shooter,0.46,0.11,0.0,0.6200000000000001,0.05,32.0,4.0,M,Mature
the sims 3 generations,PC,PC,2011,Simulation,0.4,0.23,0.0,0.63,0.0,70.0,3.6,T,Teens
ape escape 2,PlayStation,PS2,2002,Platform,0.12,0.09,0.38,0.62,0.03,82.0,8.4,E,Everyone
rocksmith 2014,PlayStation,PS4,2014,Misc,0.35,0.17,0.0,0.63,0.11,,,,Pending
x-man,Other,2600,1982,Action,0.58,0.04,0.0,0.63,0.01,,,,Pending
sega rally revo,PlayStation,PS3,2007,Racing,0.07,0.42,0.0,0.63,0.14,75.0,7.0,E,Everyone
shin megami tensei persona 3 fes,PlayStation,PS2,2007,Role-Playing,0.22,0.2,0.16,0.6300000000000001,0.05,89.0,8.3,M,Mature
fifa soccer 2002,PlayStation,PS2,2001,Sports,0.31,0.24,0.0,0.63,0.08,82.0,5.8,E,Everyone
angry birds trilogy,Nintendo,3DS,2012,Action,0.38,0.2,0.0,0.6300000000000001,0.05,62.0,4.6,E,Everyone
final fantasy vii international,PlayStation,PS,1997,Role-Playing,0.0,0.0,0.59,0.63,0.04,,,,Pending
condemned 2 bloodshot,XBox,X360,2008,Action,0.38,0.19,0.0,0.6300000000000001,0.06,80.0,8.4,M,Mature
okami,PlayStation,PS2,2006,Action,0.11,0.03,0.15,0.6300000000000001,0.34,93.0,9.3,T,Teens
shin megami tensei persona 3 portable,PlayStation,PSP,2009,Role-Playing,0.18,0.06,0.34,0.6300000000000001,0.05,89.0,8.3,M,Mature
crash of the titans,PlayStation,PSP,2007,Action,0.25,0.24,0.0,0.63,0.14,,7.1,E10+,Everyone 10y+
nhl 2001,PlayStation,PS,2000,Sports,0.35,0.24,0.0,0.63,0.04,88.0,7.7,E,Everyone
crysis 3,PC,PC,2013,Shooter,0.17,0.39,0.0,0.6300000000000001,0.07,76.0,6.5,M,Mature
buzz lightyear of star command,PlayStation,PS,2000,Platform,0.35,0.24,0.0,0.63,0.04,54.0,5.3,E,Everyone
nhl 16,PlayStation,PS4,2015,Sports,0.36,0.16,0.0,0.63,0.11,78.0,5.5,E10+,Everyone 10y+
namco museum,Nintendo,GC,2002,Misc,0.48,0.13,0.0,0.63,0.02,62.0,,E,Everyone
"transformers revenge of the fallen (xbox 360, ps3, & pc versions)",XBox,X360,2009,Shooter,0.34,0.23,0.0,0.6300000000000001,0.06,,,,Pending
cabela's big game hunter (2008),Nintendo,Wii,2007,Sports,0.58,0.0,0.0,0.63,0.05,,,T,Teens
tony hawk's project 8,PlayStation,PS3,2006,Sports,0.3,0.22,0.01,0.63,0.1,76.0,7.2,T,Teens
ghostbusters the video game,XBox,X360,2009,Action,0.43,0.14,0.0,0.6300000000000001,0.06,79.0,8.5,T,Teens
xcom enemy unknown,XBox,X360,2012,Strategy,0.36,0.21,0.0,0.62,0.05,90.0,8.3,M,Mature
nobunaga no yabou haouden,Nintendo,SNES,1993,Strategy,0.3,0.0,0.32,0.62,0.0,,,,Pending
virtua cop,Other,SAT,1995,Shooter,0.0,0.0,0.62,0.62,0.0,,,,Pending
metal gear solid 2 substance,XBox,XB,,Action,0.38,0.22,0.0,0.63,0.03,87.0,8.5,M,Mature
tony hawk's american wasteland,XBox,XB,2005,Sports,0.4,0.2,0.0,0.6300000000000001,0.03,77.0,7.7,T,Teens
wwf in your house,PlayStation,PS,1996,Fighting,0.35,0.24,0.0,0.63,0.04,,,,Pending
wild arms 3,PlayStation,PS2,2002,Role-Playing,0.16,0.13,0.29,0.6200000000000001,0.04,78.0,8.4,T,Teens
nba shootout '97,PlayStation,PS,1997,Sports,0.35,0.24,0.0,0.63,0.04,,,,Pending
family feud 2010 edition,Nintendo,Wii,2009,Misc,0.58,0.0,0.0,0.62,0.04,,,E,Everyone
madden nfl 07,Nintendo,GC,2006,Sports,0.48,0.13,0.0,0.63,0.02,82.0,9.2,E,Everyone
lego jurassic world,Nintendo,3DS,2015,Action,0.31,0.23,0.03,0.6200000000000001,0.05,,7.2,E10+,Everyone 10y+
battlezone,Other,2600,1982,Shooter,0.58,0.03,0.0,0.62,0.01,,,,Pending
tiger woods pga tour 2004,XBox,XB,2003,Sports,0.47,0.13,0.0,0.62,0.02,89.0,8.2,E,Everyone
test drive unlimited 2,PlayStation,PS3,,Racing,0.16,0.34,0.01,0.63,0.12,70.0,6.1,T,Teens
tak 2 the staff of dreams,PlayStation,PS2,2004,Platform,0.3,0.24,0.0,0.62,0.08,71.0,8.0,E,Everyone
just dance 3,PlayStation,PS3,2011,Misc,0.33,0.2,0.0,0.62,0.09,75.0,6.0,E10+,Everyone 10y+
lego pirates of the caribbean the video game,Nintendo,3DS,2011,Action,0.29,0.27,0.0,0.6200000000000001,0.06,71.0,7.3,E10+,Everyone 10y+
donkey kong barrel blast,Nintendo,Wii,2007,Racing,0.19,0.26,0.11,0.6200000000000001,0.06,46.0,6.8,E,Everyone
the princess and the frog,Nintendo,DS,2009,Platform,0.41,0.16,0.0,0.62,0.05,,,E,Everyone
disney infinity 2.0 marvel super heroes,PlayStation,PS4,2014,Action,0.27,0.25,0.0,0.62,0.1,,,,Pending
viewtiful joe,Nintendo,GC,2003,Action,0.38,0.1,0.12,0.62,0.02,93.0,8.3,T,Teens
the urbz sims in the city,Nintendo,GBA,2004,Simulation,0.37,0.22,0.0,0.62,0.03,72.0,9.2,E,Everyone
beetle adventure racing!,Nintendo,N64,1999,Racing,0.4,0.2,0.0,0.6200000000000001,0.02,,,,Pending
guitar hero metallica,PlayStation,PS3,2009,Misc,0.28,0.24,0.0,0.62,0.1,86.0,8.0,T,Teens
disney's 102 dalmatians puppies to the rescue,PlayStation,PS,2000,Platform,0.34,0.23,0.0,0.6100000000000001,0.04,,,E,Everyone
strike force bowling,PlayStation,PS2,2004,Sports,0.3,0.24,0.0,0.62,0.08,48.0,6.8,E,Everyone
halloween,Other,2600,1982,Action,0.58,0.03,0.0,0.62,0.01,,,,Pending
red steel 2,Nintendo,Wii,2010,Shooter,0.35,0.2,0.01,0.6200000000000001,0.06,80.0,8.6,T,Teens
bass landing,PlayStation,PS,1999,Sports,0.21,0.14,0.23,0.62,0.04,,,,Pending
xgra extreme g-racing association,PlayStation,PS2,2004,Racing,0.3,0.24,0.0,0.62,0.08,68.0,8.6,T,Teens
mafia iii,XBox,XOne,2016,Action,0.28,0.29,0.0,0.6200000000000001,0.05,67.0,4.6,M,Mature
